itemid	version1	version2	category	main-type	lev-dist	lev-dist-class	lendiff-chars	lendiff-words	insertion	deletion	capitalization	whitespace	italics	punctuation	hyphenation	numbers	condensation	expansion	tbc
1-1	XIII.	XXIX	other	tbc	3	minor	-1	-1	0	0	0	0	0	0	0	0	0	0	1
1-2	visit Sleerfortb at his home, again.	VISIT STEERFORTH AT HIS HOME, AGAIN	other	tbc	29	major	-1	-1	0	0	0	0	0	0	0	0	0	0	1
4-1	how- ever,	however,	other	tbc	2	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
4-2	o'clock	o’clock	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
4-3	pro- moted	promoted	other	tbc	2	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
4-4	soul's	soul’s	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
5-1	church- wardens,	churchwardens,	other	tbc	2	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
7-1	238		other	deletion	3	minor	-3	0	0	1	0	0	0	0	0	0	0	0	0
9-1	parlour-maid,	parlor-maid,	other	tbc	1	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
10-1	Steerforth's,	Steerforth’s,	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
10-2	Steerforth's	Steerforth’s	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
11-1	Steerforth's;	Steerforth’s;	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
13-1	su- spect	suspect	other	tbc	2	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
20-1	239		other	deletion	3	minor	-3	0	0	1	0	0	0	0	0	0	0	0	0
22-1	"""Oh!"		other	deletion	4	minor	-4	-2	0	1	0	0	0	0	0	0	0	0	0
23-1		“Oh!	other	insertion	4	minor	4	2	1	0	0	0	0	0	0	0	0	0	0
24-1	"wrong,"""	wrong,”	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
25-1	"“Well,"""	Well,	other	tbc	2	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
25-2	"""perhaps"	perhaps	script-identifiable	punctuation	1	minor	-1	-1	0	0	0	0	0	1	0	0	0	0	0
25-3	dry.”	dry.	other	tbc	1	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
27-1	that 's	that’s	other	tbc	2	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
27-2	change – excitement,	change—excitement,	other	tbc	3	minor	-2	0	0	0	0	0	0	0	0	0	0	0	1
30-1	isn't	isn’t	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
31-1	— for	little———Eh?—for	other	expansion	12	major	11	1	0	0	0	0	0	0	0	0	0	1	0
31-2	don't	don’t	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
31-3	Steer- forth	Steerforth	other	tbc	2	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
33-1	"""Don't it - I don't"		other	deletion	19	major	-19	-6	0	1	0	0	0	0	0	0	0	0	0
34-1	know - don't	know—don’t	other	tbc	4	minor	-2	0	0	0	0	0	0	0	0	0	0	0	1
35-1	Don't		other	deletion	5	minor	-5	-1	0	1	0	0	0	0	0	0	0	0	0
36-1	doting - eh?”	doting—eh?”	other	tbc	3	minor	-2	0	0	0	0	0	0	0	0	0	0	0	1
37-1	"think — """	think—”	other	tbc	3	minor	-2	0	0	0	0	0	0	0	0	0	0	0	1
37-2	don't!”	don’t!”	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
38-1	don't	don’t	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
41-1	don't	don’t	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
43-1	it 's	it’s	other	tbc	2	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
45-1	usual — if	usual—if	script-identifiable	whitespace	2	minor	-2	0	0	0	0	1	0	0	0	0	0	0	0
45-2	don't	don’t	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
46-1	“ Indeed,	“Indeed,	script-identifiable	whitespace	1	minor	-1	0	0	0	0	1	0	0	0	0	0	0	0
47-1	240	no!”	script-identifiable	numbers	4	minor	1	1	0	0	0	0	0	0	0	1	0	0	0
50-1	inscru- table	inscrutable	other	tbc	2	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
51-1	honourable	honorable	other	tbc	1	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
51-2	don't	don’t	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
52-1	him?”.	him?”	script-identifiable	punctuation	1	minor	-1	0	0	0	0	0	0	1	0	0	0	0	0
52-2	"Dartle,"""	Dartle,”	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
52-3	dif- ferent	different	other	tbc	2	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
55-1	under- stand,	understand,	other	tbc	2	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
55-2	"mean."""	mean.”	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
56-1	hurriedly — a	hurriedly—a	script-identifiable	whitespace	2	minor	-2	0	0	0	0	1	0	0	0	0	0	0	0
56-2	porcelain — and	porcelain—and	script-identifiable	whitespace	2	minor	-2	0	0	0	0	1	0	0	0	0	0	0	0
56-3	this !”	this!”	script-identifiable	whitespace	1	minor	-1	0	0	0	0	1	0	0	0	0	0	0	0
57-1	son's	son’s	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
58-1	241		other	deletion	3	minor	-3	0	0	1	0	0	0	0	0	0	0	0	0
59-1	natures - I	natures—I	other	tbc	3	minor	-2	0	0	0	0	0	0	0	0	0	0	0	1
59-2	nature - might	nature—might	other	tbc	3	minor	-2	0	0	0	0	0	0	0	0	0	0	0	1
60-1	Dartle's.	Dartle’s.	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
61-1	day;	day,	script-identifiable	punctuation	1	minor	0	0	0	0	0	0	0	1	0	0	0	0	0
61-2	Steer- forth.	Steerforth.	other	tbc	2	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
62-1	"mysterious."""		other	deletion	12	major	-12	-1	0	1	0	0	0	0	0	0	0	0	0
63-1	"“Mysterious!"""	mysterious.” “Mysterious!”	other	expansion	14	major	13	0	0	0	0	0	0	0	0	0	0	1	0
66-1	con- sider	consider	other	tbc	2	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
66-2	"so ?” ""Do I"	so?” “I	other	condensation	5	minor	-4	-1	0	0	0	0	0	0	0	0	1	0	0
66-3	manner?”	manner.”	script-identifiable	punctuation	1	minor	0	0	0	0	0	0	0	1	0	0	0	0	0
68-1	infor- mation.	information.	other	tbc	2	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
69-1	"ourselves."""	ourselves.”	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
69-2	"nature,"""	nature,”	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
69-3	remember, — and	remember,—and	script-identifiable	whitespace	2	minor	-2	0	0	0	0	1	0	0	0	0	0	0	0
69-4	think, — when	think,—when	script-identifiable	whitespace	2	minor	-2	0	0	0	0	1	0	0	0	0	0	0	0
69-5	"""and"	“and	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
72-1	won- der!	wonder!	other	tbc	2	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
73-1	that 's	that’s	other	tbc	2	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
75-1	David Copperfield.		other	deletion	18	major	-18	-2	0	1	0	0	0	0	0	0	0	0	0
76-1	II.		other	deletion	3	minor	-3	-1	0	1	0	0	0	0	0	0	0	0	0
77-1	16  242		other	deletion	8	major	-8	-1	0	1	0	0	0	0	0	0	0	0	0
80-1	from – let	from—let	other	tbc	3	minor	-2	0	0	0	0	0	0	0	0	0	0	0	1
80-2	"see — from Jamcs."""	see—from James.”	other	tbc	4	minor	-2	0	0	0	0	0	0	0	0	0	0	0	1
80-3	lcarn	learn	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
80-4	"Rosa,"""	Rosa,”	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
80-5	quickly -- for	quickly—for	other	tbc	4	minor	-3	0	0	0	0	0	0	0	0	0	0	0	1
80-6	world — “in	world—“in	script-identifiable	whitespace	2	minor	-2	0	0	0	0	1	0	0	0	0	0	0	0
80-7	fer- vour.	fervor.	other	tbc	3	minor	-3	-1	0	0	0	0	0	0	0	0	0	0	1
81-1	"about?"""		other	deletion	7	major	-7	-1	0	1	0	0	0	0	0	0	0	0	0
82-1	.“ That	about?” “That	other	expansion	8	major	6	0	0	0	0	0	0	0	0	0	0	1	0
82-2	"about?"""	about?”	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
84-1	constitution - is	constitution—is	other	tbc	3	minor	-2	0	0	0	0	0	0	0	0	0	0	0	1
84-2	“It's	“It’s	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
85-1	you: - whether	you:—whether	other	tbc	3	minor	-2	0	0	0	0	0	0	0	0	0	0	0	1
87-1	mel	me!	other	tbc	1	minor	0	1	0	0	0	0	0	0	0	0	0	0	1
88-1	instance, – any	instance,—any	other	tbc	3	minor	-2	0	0	0	0	0	0	0	0	0	0	0	1
88-2	supposition - that	supposition—that	other	tbc	3	minor	-2	0	0	0	0	0	0	0	0	0	0	0	1
88-3	"quarrel."""	quarrel.”	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
89-1	"“Oh!"""	“Oh!”	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
94-1	243		other	deletion	3	minor	-3	0	0	1	0	0	0	0	0	0	0	0	0
95-1	"much."""	much.”	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
98-1	art - de- lightful	art—delightful	other	condensation	5	minor	-4	-1	0	0	0	0	0	0	0	0	1	0	0
98-2	then — did	then—did	script-identifiable	whitespace	2	minor	-2	0	0	0	0	1	0	0	0	0	0	0	0
99-1	weak- ness	weakness	other	tbc	2	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
99-2	pos- sessed;	possessed;	other	tbc	2	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
100-1	be- cause	because	other	tbc	2	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
100-2	dining- room	dining-room	script-identifiable	whitespace	1	minor	-1	0	0	0	0	1	0	0	0	0	0	0	0
101-1	drawing- room	drawing-room	script-identifiable	whitespace	1	minor	-1	0	0	0	0	1	0	0	0	0	0	0	0
101-2	"""and"	“and	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
101-3	"years."""	years.”	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
102-1	“Don't		other	deletion	6	major	-6	-2	0	1	0	0	0	0	0	0	0	0	0
103-1	16  244		other	deletion	8	major	-8	-1	0	1	0	0	0	0	0	0	0	0	0
103-2	don't!	don’t!	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
104-1	"song."""	song.”	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
104-2	"song?"""	song?”*	other	tbc	2	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
109-1	"do."""		other	deletion	4	minor	-4	-1	0	1	0	0	0	0	0	0	0	0	0
110-1	;	do.”	other	tbc	4	minor	3	0	0	0	0	0	0	0	0	0	0	0	1
113-1	·		other	deletion	1	minor	-1	-1	0	1	0	0	0	0	0	0	0	0	0
114-1	don't	don’t	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
118-1	trance: - Steerforth	trance:—Steerforth	other	tbc	3	minor	-2	0	0	0	0	0	0	0	0	0	0	0	1
120-1	"mother,"""	mother,”	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
